dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,1.0,2,stratified_fallback,48,12,63,0.4604024887084961
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,1.0,2,stratified_fallback,48,12,63,0.4604024887084961
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,1.0,2,stratified_fallback,48,12,63,0.4604024887084961
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,1.0,3,stratified_fallback,48,12,63,0.7104947566986084
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,1.0,3,stratified_fallback,48,12,63,0.7104947566986084
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,1.0,3,stratified_fallback,48,12,63,0.7104947566986084
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,1.0,3,stratified_fallback,48,12,63,0.4605741500854492
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,1.0,3,stratified_fallback,48,12,63,0.4605741500854492
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,1.0,3,stratified_fallback,48,12,63,0.4605741500854492
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.8333333333333334,4,stratified_fallback,48,12,63,0.7389950752258301
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.9166666666666666,4,stratified_fallback,48,12,63,0.7389950752258301
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,4,stratified_fallback,48,12,63,0.7389950752258301
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,0.8333333333333334,4,stratified_fallback,48,12,63,0.46112966537475586
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,0.9166666666666666,4,stratified_fallback,48,12,63,0.46112966537475586
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,0.9166666666666667,4,stratified_fallback,48,12,63,0.46112966537475586
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,1.0,0,chronological,48,12,41,0.32712388038635254
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,1.0,0,chronological,48,12,41,0.32712388038635254
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,1.0,0,chronological,48,12,41,0.32712388038635254
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,1.0,0,chronological,48,12,41,0.29935216903686523
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,1.0,0,chronological,48,12,41,0.29935216903686523
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,48,12,41,0.29935216903686523
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,0.6363636363636364,1,chronological,48,12,41,0.31734299659729004
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,0.8333333333333334,1,chronological,48,12,41,0.31734299659729004
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,0.8,1,chronological,48,12,41,0.31734299659729004
