dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,kappa,1.0,2,48,12,64,0.47017908096313477
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,accuracy,0.9166666666666666,3,48,12,64,0.46814441680908203
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,balanced_accuracy,0.9285714285714286,3,48,12,64,0.46814441680908203
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,kappa,0.8333333333333334,3,48,12,64,0.46814441680908203
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,accuracy,0.8333333333333334,4,48,12,64,0.4705016613006592
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,balanced_accuracy,0.8125,4,48,12,64,0.4705016613006592
Miller2019-imagery_basic,jm,mot,HighGamma+LDA,kappa,0.625,4,48,12,64,0.4705016613006592
Miller2019-imagery_basic,jm,im,HighGamma+LDA,accuracy,0.6666666666666666,0,48,12,64,0.46757006645202637
Miller2019-imagery_basic,jm,im,HighGamma+LDA,balanced_accuracy,0.6571428571428571,0,48,12,64,0.46757006645202637
Miller2019-imagery_basic,jm,im,HighGamma+LDA,kappa,0.3142857142857143,0,48,12,64,0.46757006645202637
Miller2019-imagery_basic,jm,im,HighGamma+LDA,accuracy,0.5,1,48,12,64,0.47278332710266113
Miller2019-imagery_basic,jm,im,HighGamma+LDA,balanced_accuracy,0.5428571428571429,1,48,12,64,0.47278332710266113
Miller2019-imagery_basic,jm,im,HighGamma+LDA,kappa,0.07692307692307687,1,48,12,64,0.47278332710266113
Miller2019-imagery_basic,jm,im,HighGamma+LDA,accuracy,0.8333333333333334,2,48,12,64,0.47082066535949707
Miller2019-imagery_basic,jm,im,HighGamma+LDA,balanced_accuracy,0.8333333333333334,2,48,12,64,0.47082066535949707
Miller2019-imagery_basic,jm,im,HighGamma+LDA,kappa,0.6666666666666667,2,48,12,64,0.47082066535949707
Miller2019-imagery_basic,jm,im,HighGamma+LDA,accuracy,0.8333333333333334,3,48,12,64,0.4643888473510742
Miller2019-imagery_basic,jm,im,HighGamma+LDA,balanced_accuracy,0.8333333333333334,3,48,12,64,0.4643888473510742
Miller2019-imagery_basic,jm,im,HighGamma+LDA,kappa,0.6666666666666667,3,48,12,64,0.4643888473510742
Miller2019-imagery_basic,jm,im,HighGamma+LDA,accuracy,0.9166666666666666,4,48,12,64,0.47095704078674316
