dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,2,48,12,64,0.46093058586120605
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,3,48,12,64,0.6129822731018066
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,3,48,12,64,0.6129822731018066
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,3,48,12,64,0.6129822731018066
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,3,48,12,64,0.46017932891845703
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,3,48,12,64,0.46017932891845703
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,3,48,12,64,0.46017932891845703
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,4,48,12,64,0.6196942329406738
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,4,48,12,64,0.6196942329406738
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,4,48,12,64,0.6196942329406738
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,4,48,12,64,0.4621121883392334
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,4,48,12,64,0.4621121883392334
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,4,48,12,64,0.4621121883392334
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.9166666666666666,0,48,12,63,0.6386139392852783
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,0,48,12,63,0.6386139392852783
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.8333333333333334,0,48,12,63,0.6386139392852783
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,1.0,0,48,12,63,0.46369290351867676
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,63,0.46369290351867676
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,1.0,0,48,12,63,0.46369290351867676
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.9166666666666666,1,48,12,63,0.6282730102539062
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,1,48,12,63,0.6282730102539062
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.8333333333333334,1,48,12,63,0.6282730102539062
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,1.0,1,48,12,63,0.4579951763153076
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,63,0.4579951763153076
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,1.0,1,48,12,63,0.4579951763153076
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.8333333333333334,2,48,12,63,0.6225848197937012
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.8888888888888888,2,48,12,63,0.6225848197937012
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.6363636363636364,2,48,12,63,0.6225848197937012
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,0.8333333333333334,2,48,12,63,0.4669687747955322
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,0.8888888888888888,2,48,12,63,0.4669687747955322
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,0.6363636363636364,2,48,12,63,0.4669687747955322
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.8333333333333334,3,48,12,63,0.6142051219940186
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.8888888888888888,3,48,12,63,0.6142051219940186
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.6363636363636364,3,48,12,63,0.6142051219940186
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,0.9166666666666666,3,48,12,63,0.4666433334350586
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,0.9444444444444444,3,48,12,63,0.4666433334350586
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,0.8,3,48,12,63,0.4666433334350586
Miller2019-motor_basic,gf,0,LogBandPower+LDA,accuracy,0.8333333333333334,4,48,12,63,0.6146378517150879
Miller2019-motor_basic,gf,0,LogBandPower+LDA,balanced_accuracy,0.8333333333333334,4,48,12,63,0.6146378517150879
Miller2019-motor_basic,gf,0,LogBandPower+LDA,kappa,0.0,4,48,12,63,0.6146378517150879
Miller2019-motor_basic,gf,0,HighGamma+LDA,accuracy,0.8333333333333334,4,48,12,63,0.46436023712158203
Miller2019-motor_basic,gf,0,HighGamma+LDA,balanced_accuracy,0.8333333333333334,4,48,12,63,0.46436023712158203
Miller2019-motor_basic,gf,0,HighGamma+LDA,kappa,0.0,4,48,12,63,0.46436023712158203
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,1.0,0,48,12,41,0.4468684196472168
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,1.0,0,48,12,41,0.4468684196472168
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,1.0,0,48,12,41,0.4468684196472168
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,1.0,0,48,12,41,0.29484057426452637
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,41,0.29484057426452637
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,1.0,0,48,12,41,0.29484057426452637
